web-scraper-order,web-scraper-start-url,card_link,card_link-href,name,Stats,description,card_type
1585687300-5463,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Super Quantal Mech King Great MagnusXYZ MonsterMachine3 Level 12 monsters
If this card is sent to the Graveyard: You can Special Summon 3 ""Super Quantal Mech Beast"" Xyz Monsters with different names from your Graveyard. This card gains these effects, based on the number of Xyz Materials with different names attached to it. ● 2 or more: Once per turn, during either player's Main Phase: You can detach 1 Xyz Material from this card; shuffle 1 card on the field into the Deck. ● 4 or more: It is unaffected by card effects, except ""Super Quant"" cards. ● 6 or more: Your opponent cannot add cards from the Deck to the hand by card effects. 197,4990.25 8 2",https://db.ygoprodeck.com/card/?search=Super%20Quantal%20Mech%20King%20Great%20Magnus,Super Quantal Mech King Great Magnus,ATK: 3600 DEF: 3200,"3 Level 12 monsters
If this card is sent to the Graveyard: You can Special Summon 3 ""Super Quantal Mech Beast"" Xyz Monsters with different names from your Graveyard. This card gains these effects, based on the number of Xyz Materials with different names attached to it. ● 2 or more: Once per turn, during either player's Main Phase: You can detach 1 Xyz Material from this card; shuffle 1 card on the field into the Deck. ● 4 or more: It is unaffected by card effects, except ""Super Quant"" cards. ● 6 or more: Your opponent cannot add cards from the Deck to the hand by card effects.",XYZ Monster
1585687187-5410,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Cyber End DragonFusion MonsterMachine""Cyber Dragon"" + ""Cyber Dragon"" + ""Cyber Dragon""
A Fusion Summon of this card can only be done with the above Fusion Materials. If this card attacks a Defense Position monster, inflict piercing battle damage. 139,1850.20 23 4",https://db.ygoprodeck.com/card/?search=Cyber%20End%20Dragon,Cyber End Dragon,ATK: 4000 DEF: 2800,"""Cyber Dragon"" + ""Cyber Dragon"" + ""Cyber Dragon""

A Fusion Summon of this card can only be done with the above Fusion Materials. If this card attacks a Defense Position monster, inflict piercing battle damage.",Fusion Monster
1585687303-5464,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Subterror Behemoth UltramafusFlip Effect MonsterPyroFLIP: You can change all other face-up monsters on the field to face-down Defense Position. You can only use this effect of ""Subterror Behemoth Ultramafus"" once per turn.
When a face-up monster you control is flipped face-down, if you control no face-up monsters: You can Special Summon this card from your hand in Defense Position. Once per turn: You can change this card to face-down Defense Position. 29,3011.05 4 2",https://db.ygoprodeck.com/card/?search=Subterror%20Behemoth%20Ultramafus,Subterror Behemoth Ultramafus,ATK: 3000 DEF: 1800,"FLIP: You can change all other face-up monsters on the field to face-down Defense Position. You can only use this effect of ""Subterror Behemoth Ultramafus"" once per turn.

When a face-up monster you control is flipped face-down, if you control no face-up monsters: You can Special Summon this card from your hand in Defense Position. Once per turn: You can change this card to face-down Defense Position.",Flip Effect Monster
1585687177-5405,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"D/D Savant GalileiPendulum Effect MonsterFiend[ Pendulum Effect ]
You cannot Pendulum Summon monsters, except ""D/D"" monsters. This effect cannot be negated. Once per turn, during your Standby Phase: Increase this card's Pendulum Scale by 2 (max. 10), then destroy all monsters you control with a Level less than or equal to this card's Pendulum Scale, except ""D/D"" monsters.
----------------------------------------
[ Monster Effect ]
During either player's turn: You can discard this card, then target 1 ""D/D"" or ""Dark Contract"" card you control; return it to the hand. You can only use this effect of ""D/D Savant Galilei"" once per turn. 17,6880.11 2 1",https://db.ygoprodeck.com/card/?search=D%2FD%20Savant%20Galilei,D/D Savant Galilei,"ATK: 0 DEF: 0
Pendulum Scales: 1","[ Pendulum Effect ]

You cannot Pendulum Summon monsters, except ""D/D"" monsters. This effect cannot be negated. Once per turn, during your Standby Phase: Increase this card's Pendulum Scale by 2 (max. 10), then destroy all monsters you control with a Level less than or equal to this card's Pendulum Scale, except ""D/D"" monsters.

----------------------------------------

[ Monster Effect ]

During either player's turn: You can discard this card, then target 1 ""D/D"" or ""Dark Contract"" card you control; return it to the hand. You can only use this effect of ""D/D Savant Galilei"" once per turn.",Pendulum Effect Monster
1585687196-5414,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Crimson Nova the Dark Cubic LordEffect MonsterFiendCannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by revealing 3 other ""Cubic"" cards in your hand with different names, and cannot be Special Summoned by other ways. Unaffected by other monsters' activated effects, whose original ATK is 3000 or less. When this attacking card destroys a monster by battle: You can activate this effect; this card can make a second attack during this Battle Phase. During your End Phase: Each player takes 3000 damage. You can only use this effect of ""Crimson Nova the Dark Cubic Lord"" once per turn. 64,9670.46 7 1",https://db.ygoprodeck.com/card/?search=Crimson%20Nova%20the%20Dark%20Cubic%20Lord,Crimson Nova the Dark Cubic Lord,ATK: 3000 DEF: 0,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand) by revealing 3 other ""Cubic"" cards in your hand with different names, and cannot be Special Summoned by other ways. Unaffected by other monsters' activated effects, whose original ATK is 3000 or less. When this attacking card destroys a monster by battle: You can activate this effect; this card can make a second attack during this Battle Phase. During your End Phase: Each player takes 3000 damage. You can only use this effect of ""Crimson Nova the Dark Cubic Lord"" once per turn.",Effect Monster
1585687257-5443,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Nibiru, the Primal BeingEffect MonsterRockDuring the Main Phase, if your opponent Normal or Special Summoned 5 or more monsters this turn (Quick Effect): You can Tribute as many face-up monsters on the field as possible, and if you do, Special Summon this card from your hand, then Special Summon 1 ""Primal Being Token"" (Rock/LIGHT/Level 11/ATK ?/DEF ?) to your opponent's field. (This Token's ATK/DEF become the combined original ATK/DEF of the Tributed monsters.) You can only use this effect of ""Nibiru, the Primal Being"" once per turn. 333,39012.83 22 12",https://db.ygoprodeck.com/card/?search=Nibiru%2C%20the%20Primal%20Being,"Nibiru, the Primal Being",ATK: 3000 DEF: 600,"During the Main Phase, if your opponent Normal or Special Summoned 5 or more monsters this turn (Quick Effect): You can Tribute as many face-up monsters on the field as possible, and if you do, Special Summon this card from your hand, then Special Summon 1 ""Primal Being Token"" (Rock/LIGHT/Level 11/ATK ?/DEF ?) to your opponent's field. (This Token's ATK/DEF become the combined original ATK/DEF of the Tributed monsters.) You can only use this effect of ""Nibiru, the Primal Being"" once per turn.",Effect Monster
1585687175-5404,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"D/D/D Destiny King Zero LaplacePendulum Effect MonsterFiend[ Pendulum Effect ]
During your Main Phase: You can add 1 face-up ""D/D/D"" Pendulum Monster from your Extra Deck to your hand, except ""D/D/D Destiny King Zero Laplace"". You can only use this effect of ""D/D/D Destiny King Zero Laplace"" once per turn.
----------------------------------------
[ Monster Effect ]
You can Special Summon this card (from your hand) by Tributing 1 ""D/D/D"" monster. Before damage calculation, if this card battles an opponent's monster: You can activate this effect; this card's ATK becomes double that opponent's monster's original ATK until the end of the Damage Step. If this card attacks a Defense Position monster, inflict piercing battle damage. The first time this card would be destroyed by battle each turn, it is not destroyed, also you take no battle damage from that battle. 37,41913.76 9 2",https://db.ygoprodeck.com/card/?search=D%2FD%2FD%20Destiny%20King%20Zero%20Laplace,D/D/D Destiny King Zero Laplace,"ATK: 0 DEF: 0
Pendulum Scales: 1","[ Pendulum Effect ]

During your Main Phase: You can add 1 face-up ""D/D/D"" Pendulum Monster from your Extra Deck to your hand, except ""D/D/D Destiny King Zero Laplace"". You can only use this effect of ""D/D/D Destiny King Zero Laplace"" once per turn.

----------------------------------------

[ Monster Effect ]

You can Special Summon this card (from your hand) by Tributing 1 ""D/D/D"" monster. Before damage calculation, if this card battles an opponent's monster: You can activate this effect; this card's ATK becomes double that opponent's monster's original ATK until the end of the Damage Step. If this card attacks a Defense Position monster, inflict piercing battle damage. The first time this card would be destroyed by battle each turn, it is not destroyed, also you take no battle damage from that battle.",Pendulum Effect Monster
1585687168-5401,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"D/D/D Super Doom King Purple ArmageddonPendulum Effect Fusion MonsterFiend[ Pendulum Effect ]
Once per turn, before damage calculation, if your ""D/D/D"" Fusion Monster battles an opponent's monster: You can make that opponent's monster lose 1000 ATK until the end of this turn (even if this card leaves the field).
----------------------------------------
[ Monster Effect ]
2 ""D/D/D"" monsters
You can target 1 Attack Position monster your opponent controls; destroy it, and if you do, inflict damage to your opponent equal to half its original ATK. You can only use this effect of ""D/D/D Super Doom King Purple Armageddon"" once per turn. Before damage calculation, if an opponent's monster battles: You can make its ATK become equal to its original ATK until the end of the Damage Step. If this card in the Monster Zone is destroyed: You can place this card in your Pendulum Zone. 46,0140.12 15 0",https://db.ygoprodeck.com/card/?search=D%2FD%2FD%20Super%20Doom%20King%20Purple%20Armageddon,D/D/D Super Doom King Purple Armageddon,"ATK: 3500 DEF: 3000
Pendulum Scales: 1","[ Pendulum Effect ]

Once per turn, before damage calculation, if your ""D/D/D"" Fusion Monster battles an opponent's monster: You can make that opponent's monster lose 1000 ATK until the end of this turn (even if this card leaves the field).

----------------------------------------

[ Monster Effect ]

2 ""D/D/D"" monsters

You can target 1 Attack Position monster your opponent controls; destroy it, and if you do, inflict damage to your opponent equal to half its original ATK. You can only use this effect of ""D/D/D Super Doom King Purple Armageddon"" once per turn. Before damage calculation, if an opponent's monster battles: You can make its ATK become equal to its original ATK until the end of the Damage Step. If this card in the Monster Zone is destroyed: You can place this card in your Pendulum Zone.",Pendulum Effect Fusion Monster
1585687232-5431,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Andro SphinxEffect MonsterBeastYou can pay 500 Life Points to Special Summon this card when ""Pyramid of Light"" is on the field. This card cannot attack during the turn that it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponent's Life Points equal to half of the ATK of the destroyed monster. 13,2350.32 6 1",https://db.ygoprodeck.com/card/?search=Andro%20Sphinx,Andro Sphinx,ATK: 3000 DEF: 2500,"You can pay 500 Life Points to Special Summon this card when ""Pyramid of Light"" is on the field. This card cannot attack during the turn that it is Normal Summoned or Special Summoned. This card cannot be Special Summoned from the Graveyard. If this card destroys a Defense Position monster as a result of battle, inflict damage to your opponent's Life Points equal to half of the ATK of the destroyed monster.",Effect Monster
1585687283-5455,https://db.ygoprodeck.com/search/?&sort=level&sortorder=desc&num=100&offset=0&view=List,"Arknemesis EschatosEffect MonsterDragonCannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by banishing 3 face-up monsters with different Types you control and/or in your GY. Cannot be destroyed by card effects. You can declare 1 Type on the field; destroy all monsters on the field of that Type, also neither player can Special Summon monsters of that Type until the end of the next turn. You can only use this effect of ""Arknemesis Eschatos"" once per turn. 15,0830.00 2 0",https://db.ygoprodeck.com/card/?search=Arknemesis%20Eschatos,null,,,
